Date ,TP Outturn,Cycles,Net profit,,,2 cycles scenario,,,,,,,
26/04/2018,7.038752,1.999645455,129.5337158,,,,,,,,,,
27/04/2018,7.038752,1.999645455,192.1576824,,,,,,,,,,
28/04/2018,7.038752,1.999645455,196.2693217,,,,,,,,,,
29/04/2018,7.038752,1.999645455,160.0265702,,,,,,,,,,
30/04/2018,7.038752,1.999645455,108.1115827,,,,,,,,,,
01/05/2018,7.038752,1.999645455,225.19606,,,,,,,,,,
02/05/2018,7.038752,1.999645455,167.3125592,,,,,,,,,,
03/05/2018,7.038752,1.999645455,256.0798689,,,,,,,,,,
04/05/2018,2.938,0.834659091,140.4941012,,,,,,,,,,
05/05/2018,7.038752,1.999645455,118.40495,,,,,,,,,,
06/05/2018,7.038752,1.999645455,129.6872285,,,,,,,,,,
07/05/2018,7.038752,1.999645455,125.9841629,,,,,,,,,,
08/05/2018,7.038752,1.999645455,175.1002017,,,,,,,,,,
09/05/2018,7.038752,1.999645455,340.9077649,,,,,,,,,,
10/05/2018,7.038752,1.999645455,156.0966976,,,,,,,,,,
11/05/2018,7.038752,1.999645455,234.0782027,,,,,,,,,,
12/05/2018,6.538752,1.8576,182.8397477,,,,,,,,,,
13/05/2018,7.038752,1.999645455,158.2876425,,,,,,,,,,
14/05/2018,7.038752,1.999645455,149.5832969,,,,,,,,,,
15/05/2018,7.038752,1.999645455,117.4833052,,,,,,,,,,
16/05/2018,7.038752,1.999645455,147.8566711,,,,,,,,,,
17/05/2018,7.038752,1.999645455,171.206649,,,,,,,,,,
18/05/2018,3.376,0.959090909,128.5318926,,,,,,,,,,
19/05/2018,7.038752,1.999645455,101.4912397,,,,,,,,,,
20/05/2018,7.038752,1.999645455,181.2569741,,,,,,,,,,
21/05/2018,7.038752,1.999645455,124.7786182,,,,,,,,,,
22/05/2018,5.876,1.669318182,105.2954349,,,,,,,,,,
23/05/2018,7.038752,1.999645455,94.65980993,,,,,,,,,,
24/05/2018,7.038752,1.999645455,238.2065845,,,,,,,,,,
25/05/2018,7.038752,1.999645455,147.5587277,,,,,,,,,,
26/05/2018,7.038752,1.999645455,178.3306042,,,,,,,,,,
27/05/2018,7.038752,1.999645455,230.8878,,,,,,,,,,
28/05/2018,7.038752,1.999645455,124.1191971,,,,,,,,,,
29/05/2018,7.038752,1.999645455,216.3922691,,,,,,,,,,
30/05/2018,7.038752,1.999645455,155.5682391,,,,,,,,,,
31/05/2018,7.038752,1.999645455,154.5350571,,,,,,,,,,
01/06/2018,7.038752,1.999645455,138.7493407,,,,,,,,,,
02/06/2018,7.038752,1.999645455,120.6812215,,,,,,,,,,
03/06/2018,7.038752,1.999645455,282.3666578,,,,,,,,,,
04/06/2018,6.538752,1.8576,164.9745382,,,,,,,,,,
05/06/2018,6.538752,1.8576,132.7210403,,,,,,,,,,
06/06/2018,7.038752,1.999645455,173.0208389,,,,,,,,,,
